index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
10,复仇者联盟3：无限战争 Avengers: Infinity War,2018,安东尼·罗素/乔·罗素,杰克·科比/克里斯托弗·马库斯/斯蒂芬·麦克菲利/吉姆·斯特林,小罗伯特·唐尼/克里斯·海姆斯沃斯/克里斯·埃文斯/马克·鲁弗洛/乔什·布洛林/佐伊·索尔达娜/本尼迪克特·康伯巴奇/克里斯·帕拉特/汤姆·赫兰德/伊丽莎白·奥尔森/保罗·贝坦尼/斯嘉丽·约翰逊/查德维克·博斯曼/塞巴斯蒂安·斯坦/唐·钱德尔/汤姆·希德勒斯顿/安东尼·麦凯/本尼迪克特·王/戴夫·巴蒂斯塔/布莱德利·库珀/范·迪塞尔/凯伦·吉兰/利蒂希娅·赖特/庞·克莱门捷夫/凯莉·库恩/汤姆-沃恩-劳勒/海登·瓦尔希/迈克尔·詹姆斯·肖/泰瑞·诺塔里/本尼西奥·德尔·托罗/彼特·丁拉基/罗斯·马昆德/丹娜·奎里拉/温斯顿·杜克/弗洛伦丝·卡松巴/塞缪尔·杰克逊/雅各布·巴特朗/斯坦·李,动作/科幻/奇幻/冒险,最先与灭霸军团遭遇的雷神索尔一行遭遇惨烈打击，洛基遇害，空间宝石落入灭霸之手。未几，灭霸的先锋部队杀至地球，一番缠斗后掳走奇异博士。为阻止时间宝石落入敌手，斯塔克和蜘蛛侠闯入了敌人的飞船。与此同时，拥有心灵宝石的幻视也遭到外星侵略者的袭击，为此美国队长、黑寡妇等人将其带到瓦坎达王国，向黑豹求助。幸免于难的索尔与星爵一行相逢，随后他们兵分两路。索尔与火箭、格鲁特踏上再铸雷神之锤的旅程，星爵则与卡魔拉等人试图阻止灭霸的恶行。而知晓灵魂宝石下落的卡魔拉，同样是其义父灭霸追踪的对象。,149分钟,2018-05-11(中国大陆)/2018-04-23(加州首映)/2018-04-27(美国), 美国, 英语,670038.0,8.1,33.3%,43.9%,19.7%,2.3%,0.8%,172024.0,3591.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg
11,一出好戏,2018,黄渤,黄渤/张冀/郭俊立/查慕春/崔斯韦/邢爱娜/黄湛中,黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟/宁浩/管虎/梁静/徐峥/陈德森/张磊,剧情/喜剧,马进欠下债务，与远房表弟小兴在底层社会摸爬滚打，习惯性的买彩票，企图一夜暴富，并迎娶自己的同事姗姗。一日，公司全体员工出海团建，途中，马进收到了彩票中头奖的信息，六千万！就在马进狂喜自己翻身的日子终于到来之际，一场突如其来的滔天巨浪打破了一切。苏醒过来的众人发现身处荒岛 ，丧失了一切与外界的联系……,134分钟,2018-08-10(中国大陆), 中国大陆, 汉语普通话,755061.0,7.1,12.0%,41.3%,37.9%,7.0%,1.8%,204855.0,5866.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg
12,毒液：致命守护者 Venom,2018,鲁本·弗雷斯彻,杰夫·皮克纳/斯科特·罗森伯格/凯莉·马塞尔/托德·麦克法兰/大卫·米其林,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/里德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇,动作/科幻/惊悚,艾迪（汤姆·哈迪 Tom Hardy 饰）是一位深受观众喜爱的新闻记者，和女友安妮（米歇尔·威廉姆斯 Michelle Williams 饰）相恋多年，彼此之间感情十分要好。安妮是一名律师，接手了生命基金会的案件，在女友的邮箱里，艾迪发现了基金会老板德雷克（里兹·阿迈德 Riz Ahmed 饰）不为人知的秘密。为此，艾迪不仅丢了工作，女友也离他而去。,112分钟,2018-11-09(中国大陆)/2018-10-05(美国), 美国 / 中国大陆, 英语 / 汉语普通话,674655.0,7.2,12.2%,42.9%,39.5%,4.8%,0.6%,171982.0,1567.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg
13,小偷家族 万引き家族,2018,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤/足立智充,剧情/家庭/犯罪,东京的都市丛林中央，残存着一栋古旧寒酸的老房子，这里局促地生活着柴田一家五口人。在工地当临时工的男人阿治（Lily Franky 饰）经常带着儿子祥太（城桧吏 饰）到超市盗窃生活用品，这一天，他们回家路上遇到了独自待在户外的四岁女孩由里（佐佐木美结 饰）。妻子信代（安藤樱 饰）起初极力主张将女孩送回父母身边，但当看到女孩原生家庭的状况时又心生恻隐。原本柴田家就靠着老奶奶初枝（树木希林 饰）的养老金度日，而今多了一口人，自然更艰辛了几分。包括信代的妹妹亚纪（松冈茉优 饰）在内，虽然一家人游走在贫困和违法的边缘，但笃深的羁绊将他们紧紧联系在一起，使他们的心不会随着冰冷的都市而寒冷下去……,117分钟(中国大陆),2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本), 日本, 日语,606710.0,8.7,44.9%,44.6%,9.6%,0.7%,0.2%,152483.0,4021.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
14,无双 無雙,2018,庄文强,庄文强,周润发/郭富城/张静初/冯文娟/廖启智/周家怡/王耀庆/方中信/高捷/邢佳栋/张松枝/张建声/吴嘉龙/孙佳君,剧情/动作/悬疑/犯罪,身陷囹圄的李问（郭富城 饰）被引渡回港，他原本隶属于一个的跨国假钞制贩组织。该组织曾犯下过多宗恶性案件，而首脑“画家”不仅始终逍遥法外，连真面目都没人知道。为了逼迫李问吐露“画家”真实身份，警方不惜用足以判死刑的假罪证使其就范。就在此时，富有的遗孀阮文（张静初 饰）申请保释李问，而警方提出的条件依然是“画家”的真面目。,130分钟,2018-09-30(中国大陆)/2018-10-04(中国香港), 中国大陆 / 中国香港, 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,751854.0,8.1,26.3%,53.0%,18.7%,1.6%,0.3%,200099.0,2964.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg
15,超时空同居,2018,苏伦,苏伦,雷佳音/佟丽娅/张衣/于和伟/王正佳/陶虹/李念/李光洁/杨玏/范明/徐峥/杨迪/方龄/陈昊,喜剧/爱情/奇幻,生活在2018年的大龄女青年谷小焦（佟丽娅 饰），梦想能够嫁一个能买得起她幼时豪宅的有钱人，却屡屡受挫，只能蜗居在一栋老居民楼里。生活在1999年的陆鸣（雷佳音 饰）手握着自己设计的宏伟蓝图，却始终找不到投资人，同时也面临重大的事业危机。奇怪的时刻来临了，失意的两个人回到家中居然发生了惊人的一幕，同一扇门关上后居然是两个时空的交汇点，两个不同时空的人相遇了，为了拯救自己的未来，两人共商大计，开启了幻想一夜暴富的一系列措施，引发了啼笑皆非的连锁反应。而他们不知道的是，两个时空的重叠是人为的操控，他们每走一步都会引发不可预知的结果，更要命的事，本来只是视对方为赚钱拍档的两人引发了爱的火花……,101分钟,2018-05-18(中国大陆), 中国大陆, 汉语普通话,437863.0,6.8,8.2%,35.8%,47.4%,7.6%,1.1%,118843.0,1986.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg
16,无问西东,2018,李芳芳,李芳芳,章子怡/黄晓明/张震/王力宏/陈楚生/铁政/祖峰/米雪/王盛德/韩童生/王鑫/郑铮/章泽天/黄梦莹/林美秀/保罗·菲利普·克拉克/胡家华/伊娜/吴谨言/纪帅/王天泽/伍麟凯/都金翰,剧情/爱情/战争,,138分钟,2018-01-12(中国大陆), 中国大陆, 汉语普通话,608727.0,7.6,25.5%,39.2%,26.7%,6.6%,2.0%,177867.0,9481.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507572275.jpg
17,邪不压正,2018,姜文,姜文/何冀平/李非/孙悦/张北海,彭于晏/廖凡/姜文/周韵/许晴/泽田谦也/安地/史航/李梦/丁嘉丽/陈曦,剧情/喜剧/动作,七七事变前夕，华裔青年小亨德勒（彭于晏 饰）从美国远赴重洋，回到阔别十数年之久的北平从医。然而他真正的名字叫李天然，十三岁那年曾亲眼目睹师父一家遭师兄朱潜龙（廖凡 饰）和日本人根本一郎（泽田谦也 饰）灭门。侥幸逃生的天然被美国人亨德勒医生送往大洋彼岸，接受了极其严苛的训练，而今他怀着绝密的任务踏上故土。亨德勒父子租住神秘男子蓝青峰（姜文 饰）的宅子，蓝是当年辛亥革命的参与者，他与现为警察局长的朱潜龙过从甚密，却又以杀死李天然为筹码，暗中怂恿朱除掉根本一郎。复仇心切的李天然寻找到了仇人，而亨德勒医生则全力阻止养子冒险。在这一过程中，交际花唐凤仪（许晴 饰）与裁缝关巧红（周韵 饰）也卷入了男人的勾心斗角的漩涡里。直到七七事变爆发，所有的矛盾迎来了决断的时刻……,137分钟,2018-07-13(中国大陆), 中国大陆, 汉语普通话 / 英语 / 日语 / 法语,567506.0,7.0,14.0%,37.1%,38.3%,8.4%,2.3%,165406.0,4512.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg
18,黑豹 Black Panther,2018,瑞恩·库格勒,瑞恩·库格勒/乔·罗伯特·科尔/斯坦·李/杰克·科比,查德维克·博斯曼/露皮塔·尼永奥/迈克尔·B·乔丹/丹娜·奎里拉/马丁·弗瑞曼/丹尼尔·卡卢亚/利蒂希娅·赖特/温斯顿·杜克/斯特林·K·布朗/安吉拉·贝塞特/福里斯特·惠特克/安迪·瑟金斯/弗洛伦丝·卡松巴/约翰·卡尼/大卫·S·李/娜比娅·毕,动作/科幻/冒险,位于非洲的神秘国家瓦坎达，凭借来自宇宙的振金而成为科技极度发达的国家，不过他们长久封闭，始终对外界保守这个秘密。在前国王死于联合国爆炸袭击后，特查拉王子（查德维克·博斯曼 Chadwick Boseman 饰）继任成为新的国王，同时他也是黑豹的继承者。登基之后，特查拉与前女友娜吉雅（露皮塔·尼永奥 Lupita Nyong'o 饰）、贴身侍卫奥姆烨（丹娜·奎里拉 Danai Gurira 饰）追查曾经盗取振金并杀害瓦坎达人的尤利西斯·克劳（安迪·瑟金斯 Andy Serkis 饰）。一番厮杀后，克劳侥幸逃脱，谁知最终死于合伙人艾瑞克·克尔芒戈（迈克尔·B·乔丹 Michael B. Jordan 饰）之手。艾瑞克同样具有瓦坎达血统，而且当年他的父亲死在了自己的兄弟——特查拉父亲的手中。,134分钟,2018-03-09(中国大陆)/2018-02-16(美国), 美国 / 南非 / 韩国 / 澳大利亚, 斯瓦希里语 / 英语 / 科萨语 / 韩语,375590.0,6.5,6.5%,27.0%,52.1%,12.0%,2.3%,94312.0,1652.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512123434.jpg
19,蚁人2：黄蜂女现身 Ant-Man and the Wasp,2018,佩顿·里德,克里斯·麦克纳/埃里克·萨默斯/保罗·路德/安德鲁·贝伦/加百利·法拉利,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利,动作/科幻/冒险,由于在“内战”中站到了美国队长一方，蚁人斯科特·朗（保罗·路德 Paul Rudd 饰）遭到了FBI的禁足惩罚。眼看离真正的自由还有几天功夫，偏偏麻烦找上门来。原来初代蚁人汉克·皮姆（迈克尔·道格拉斯 Michael Douglas 饰）通过研究发现，他的妻子黄蜂女（米歇尔·菲佛 Michelle Pfeiffer 饰）一定还活在量子领域，而斯科特是能够将妻子带回现实世界的唯一希望。不由分说，汉克的女儿霍普（伊万杰琳·莉莉 Nicole Lilly 饰）将斯科特带出房间。此后不久，他们不仅要躲避FBI的纠缠，更要提防来自神秘势力的袭击，而“幽灵”的出现更将斯科特等人带向前所未有的混乱当中。,118分钟,2018-08-24(中国大陆)/2018-07-06(美国), 美国, 英语,389280.0,7.3,12.1%,45.9%,38.1%,3.6%,0.4%,80974.0,481.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529389608.jpg
